,2012,2013,2014,2015,2016,Phrase
dropcatch com 827,,,,,1,dropcatch com 827
edeka verband,,,,,1,edeka verband
dropcatch com 825,,,,,1,dropcatch com 825
bharti airtel,1.0,1.0,,,1,bharti airtel
bharti airtel limited,,,,,1,bharti airtel limited
bharti enterprises,,,,,1,bharti enterprises
bharti enterprises holding,,,,,1,bharti enterprises holding
bible,,,,,1,bible
bible society,,,,,1,bible society
bid,,,1.0,1.0,1,bid
bid limited,,,1.0,1.0,1,bid limited
bidfordomainnames,1.0,1.0,1.0,1.0,1,bidfordomainnames
bg ood,,,1.0,1.0,1,bg ood
bidfordomainnames llc,1.0,1.0,1.0,1.0,1,bidfordomainnames llc
big dipper domains,,,,1.0,1,big dipper domains
big domain,1.0,1.0,1.0,1.0,1,big domain
big domain shop,1.0,1.0,1.0,1.0,1,big domain shop
big fest,,,1.0,1.0,1,big fest
big fest llc,,,1.0,1.0,1,big fest llc
big hollow,,,1.0,1.0,1,big hollow
big hollow llc,,,1.0,1.0,1,big hollow llc
big house,1.0,1.0,1.0,1.0,1,big house
big house services,1.0,1.0,1.0,1.0,1,big house services
big dipper,,,,1.0,1,big dipper
big pass,,,1.0,1.0,1,big pass
bg,1.0,,1.0,1.0,1,bg
betterthanaveragedomains com,1.0,1.0,1.0,1.0,1,betterthanaveragedomains com
beijing zihai technology,,,1.0,1.0,1,beijing zihai technology
belmontdomains,1.0,1.0,1.0,1.0,1,belmontdomains
belmontdomains com,1.0,1.0,1.0,1.0,1,belmontdomains com
belmontdomains com llc,1.0,1.0,1.0,1.0,1,belmontdomains com llc
benjamin,,,,1.0,1,benjamin
benjamin franklin,,,,1.0,1,benjamin franklin
benjamin franklin 888,,,,1.0,1,benjamin franklin 888
bentley,,,,,1,bentley
bentley motors,,,,,1,bentley motors
betterthanaveragedomains com llc,1.0,1.0,1.0,1.0,1,betterthanaveragedomains com llc
bentley motors limited,,,,,1,bentley motors limited
bermuda ltd,,,,,1,bermuda ltd
best drop,,,,,1,best drop
best drop names,,,,,1,best drop names
best oray,2.0,1.0,1.0,1.0,1,best oray
best oray information,2.0,1.0,1.0,1.0,1,best oray information
besttld,,,1.0,1.0,1,besttld
besttld pty,,,1.0,1.0,1,besttld pty
besttld pty ltd,,,1.0,1.0,1,besttld pty ltd
betterthanaveragedomains,1.0,1.0,1.0,1.0,1,betterthanaveragedomains
bermuda,,,,,1,bermuda
beijing zihai,,,1.0,1.0,1,beijing zihai
big pass llc,,,1.0,1.0,1,big pass llc
biglizarddomains com,1.0,1.0,1.0,1.0,1,biglizarddomains com
binky frostbite,,,1.0,1.0,1,binky frostbite
binky frostbite llc,,,1.0,1.0,1,binky frostbite llc
binky galley,,,1.0,1.0,1,binky galley
binky galley llc,,,1.0,1.0,1,binky galley llc
binky glen,,,1.0,1.0,1,binky glen
binky glen llc,,,1.0,1.0,1,binky glen llc
binky lake,,,1.0,1.0,1,binky lake
binky lake llc,,,1.0,1.0,1,binky lake llc
binky moon,,,,1.0,1,binky moon
binky birch llc,,,,1.0,1,binky birch llc
binky moon llc,,,,1.0,1,binky moon llc
binky sky llc,,,,1.0,1,binky sky llc
bitter,,,,1.0,1,bitter
bitter fields,,,,1.0,1,bitter fields
bitter fields llc,,,,1.0,1,bitter fields llc
biz,1.0,1.0,1.0,1.0,1,biz
biz domains,1.0,1.0,1.0,1.0,1,biz domains
biz domains llc,1.0,1.0,1.0,1.0,1,biz domains llc
bizcn,,1.0,1.0,1.0,1,bizcn
bizcn com,,1.0,1.0,1.0,1,bizcn com
binky sky,,,,1.0,1,binky sky
biglizarddomains,1.0,1.0,1.0,1.0,1,biglizarddomains
binky birch,,,,1.0,1,binky birch
binero,1.0,1.0,1.0,1.0,1,binero
biglizarddomains com llc,1.0,1.0,1.0,1.0,1,biglizarddomains com llc
bigrock,1.0,2.0,1.0,1.0,1,bigrock
bigrock solutions,1.0,2.0,1.0,1.0,1,bigrock solutions
bigrock solutions ltd,,1.0,1.0,1.0,1,bigrock solutions ltd
bilbao,,,,1.0,1,bilbao
bilbao vizcaya,,,,1.0,1,bilbao vizcaya
bilbao vizcaya argentaria,,,,1.0,1,bilbao vizcaya argentaria
bilgisayar,1.0,1.0,1.0,,1,bilgisayar
bilgisayar san,,,,,1,bilgisayar san
binero ab,1.0,1.0,1.0,1.0,1,binero ab
bilgisayar san ve,,,,,1,bilgisayar san ve
bilisim ltd sti,1.0,1.0,2.0,1.0,1,bilisim ltd sti
bilisim taahut,1.0,1.0,1.0,1.0,1,bilisim taahut
bilisim taahut sanayi,1.0,1.0,1.0,1.0,1,bilisim taahut sanayi
bill,,,,,1,bill
bill hickok,,,,,1,bill hickok
bill hickok llc,,,,,1,bill hickok llc
billy,,,,1.0,1,billy
billy the,,,,1.0,1,billy the
billy the kid,,,,1.0,1,billy the kid
bilisim ltd,2.0,1.0,2.0,1.0,1,bilisim ltd
bizcn com inc,,1.0,1.0,1.0,1,bizcn com inc
beijing zhuoyue shengming,,,,1.0,1,beijing zhuoyue shengming
beijing zhongwan network,,,1.0,1.0,1,beijing zhongwan network
barracuda,,,,1.0,1,barracuda
barracuda domains,,,,1.0,1,barracuda domains
barracuda domains llc,,,,1.0,1,barracuda domains llc
batdomains,1.0,1.0,1.0,1.0,1,batdomains
batdomains com,1.0,1.0,1.0,1.0,1,batdomains com
batdomains com ltd,1.0,1.0,1.0,1.0,1,batdomains com ltd
baxter,,,1.0,1.0,1,baxter
baxter hill,,,1.0,1.0,1,baxter hill
baxter hill llc,,,1.0,1.0,1,baxter hill llc
baronofdomains com llc,1.0,1.0,1.0,1.0,1,baronofdomains com llc
bay,1.0,1.0,1.0,1.0,1,bay
bayerische,,,1.0,1.0,1,bayerische
bayerische motoren,,,1.0,1.0,1,bayerische motoren
bayerische motoren werke,,,1.0,1.0,1,bayerische motoren werke
bayern,,,1.0,1.0,1,bayern
bayern connect,,,1.0,1.0,1,bayern connect
bayern connect gmbh,,,1.0,1.0,1,bayern connect gmbh
bazaar,,,,,1,bazaar
bazaar llc,,,,,1,bazaar llc
bb,1.0,1.0,1.0,1.0,1,bb
bay inc,1.0,1.0,1.0,1.0,1,bay inc
bb online,1.0,1.0,1.0,1.0,1,bb online
baronofdomains com,1.0,1.0,1.0,1.0,1,baronofdomains com
barker incorporated,2.0,1.0,1.0,1.0,1,barker incorporated
banco bilbao vizcaya,,,,1.0,1,banco bilbao vizcaya
banco bradesco,,,,,1,banco bradesco
band,1.0,1.0,1.0,1.0,1,band
band inc,1.0,1.0,1.0,1.0,1,band inc
bank limited,,,,,1,bank limited
bank national,,,,,1,bank national
bank national association,,,,,1,bank national association
bank of australia,,,,,1,bank of australia
bank of china,,,,1.0,1,bank of china
baronofdomains,1.0,1.0,1.0,1.0,1,baronofdomains
bank plc,,,,1.0,1,bank plc
bank public company,,,,1.0,1,bank public company
bao trading,1.0,1.0,1.0,1.0,1,bao trading
bao trading service,1.0,1.0,1.0,1.0,1,bao trading service
barca,,,1.0,1.0,1,barca
barca llc,,,1.0,1.0,1,barca llc
barclays,,,,1.0,1,barclays
barclays bank,,,,1.0,1,barclays bank
barclays bank plc,,,,1.0,1,barclays bank plc
barker,2.0,1.0,1.0,1.0,1,barker
bank public,,,,1.0,1,bank public
beijing zhuoyue,,,,1.0,1,beijing zhuoyue
bb online ltd,,,,1.0,1,bb online ltd
bdl systemes,,1.0,1.0,1.0,1,bdl systemes
beijing innovative linkage,2.0,1.0,1.0,1.0,1,beijing innovative linkage
beijing lanhai,,,,1.0,1,beijing lanhai
beijing lanhai jiye,,,,1.0,1,beijing lanhai jiye
beijing limited,,,,,1,beijing limited
beijing midwest,1.0,,1.0,1.0,1,beijing midwest
beijing midwest taian,1.0,,1.0,1.0,1,beijing midwest taian
beijing qianxiang,,,1.0,1.0,1,beijing qianxiang
beijing qianxiang wangjing,,,1.0,1.0,1,beijing qianxiang wangjing
beijing sanfront,1.0,1.0,1.0,1.0,1,beijing sanfront
beijing innovative,2.0,1.0,1.0,1.0,1,beijing innovative
beijing sanfront information,1.0,1.0,1.0,1.0,1,beijing sanfront information
beijing technology corporation,3.0,2.0,2.0,1.0,1,beijing technology corporation
beijing technology limited,,,,1.0,1,beijing technology limited
beijing tele,,,,1.0,1,beijing tele
beijing tele info,,,,1.0,1,beijing tele info
beijing tong,1.0,1.0,2.0,1.0,1,beijing tong
beijing tong guan,1.0,1.0,2.0,1.0,1,beijing tong guan
beijing wangzun,1.0,1.0,1.0,1.0,1,beijing wangzun
beijing wangzun technology,1.0,1.0,1.0,1.0,1,beijing wangzun technology
beijing zhongwan,,,1.0,1.0,1,beijing zhongwan
beijing technology co,,,,2.0,1,beijing technology co
bdl,,1.0,1.0,1.0,1,bdl
beijing huarui wireless,,,,,1,beijing huarui wireless
beijing guoxu network,1.0,1.0,1.0,1.0,1,beijing guoxu network
bdl systemes sas,,1.0,1.0,1.0,1,bdl systemes sas
be,1.0,,2.0,2.0,1,be
be vzw,1.0,,2.0,2.0,1,be vzw
beartrapdomains,1.0,1.0,1.0,1.0,1,beartrapdomains
beartrapdomains com,1.0,1.0,1.0,1.0,1,beartrapdomains com
beartrapdomains com llc,1.0,1.0,1.0,1.0,1,beartrapdomains com llc
beats,,,,,1,beats
beats electronics,,,,,1,beats electronics
beats electronics llc,,,,,1,beats electronics llc
beijing huarui,,,,,1,beijing huarui
beauty,,,,1.0,1,beauty
bee,,,1.0,1.0,1,bee
bee llc,,,1.0,1.0,1,bee llc
beijing brandma,,,,,1,beijing brandma
beijing brandma international,,,,,1,beijing brandma international
beijing engineering,,,1.0,1.0,1,beijing engineering
beijing engineering research,,,1.0,1.0,1,beijing engineering research
beijing gamease,,,,1.0,1,beijing gamease
beijing gamease age,,,,1.0,1,beijing gamease age
beijing guoxu,1.0,1.0,1.0,1.0,1,beijing guoxu
beauty llc,,,,1.0,1,beauty llc
black corner,,,1.0,1.0,1,black corner
black corner llc,,,1.0,1.0,1,black corner llc
black cover,,,1.0,1.0,1,black cover
british broadcasting corporation,,,,1.0,1,british broadcasting corporation
broadcasting corporation nhk,,,1.0,1.0,1,broadcasting corporation nhk
broadcasting network,,,,1.0,1,broadcasting network
broadcasting network inc,,,,1.0,1,broadcasting network inc
broadcasting service,,,,,1,broadcasting service
broadcasting service corporation,,,,,1,broadcasting service corporation
broadcasting union,,,,1.0,1,broadcasting union
broadcasting union ebu,,,,1.0,1,broadcasting union ebu
broadway,,,,,1,broadway
british broadcasting,,,,1.0,1,british broadcasting
broadway inc,,,,,1,broadway inc
brother industries,,,,1.0,1,brother industries
brother industries ltd,,,,1.0,1,brother industries ltd
brregistry,,,,1.0,1,brregistry
brregistry inc,,,,1.0,1,brregistry inc
brs,,,1.0,1.0,1,brs
brs llc,,,1.0,1.0,1,brs llc
buddha,,,,1.0,1,buddha
buddha llc,,,,1.0,1,buddha llc
bugatti,,,,,1,bugatti
brother,,,,1.0,1,brother
bugatti international,,,,,1,bugatti international
british,,,,1.0,1,british
bristol myers,,,,,1,bristol myers
brandon gray internet,1.0,1.0,2.0,1.0,1,brandon gray internet
bravenames,1.0,1.0,1.0,1.0,1,bravenames
bravenames inc,1.0,1.0,1.0,1.0,1,bravenames inc
breeze,,,,1.0,1,breeze
breeze domains,,,,1.0,1,breeze domains
breeze domains llc,,,,1.0,1,breeze domains llc
brennercom,,,,1.0,1,brennercom
brennercom limited,,,,1.0,1,brennercom limited
brice orchard,,,1.0,1.0,1,brice orchard
bristol myers squibb,,,,,1,bristol myers squibb
brice orchard llc,,,1.0,1.0,1,brice orchard llc
brice way llc,,,1.0,1.0,1,brice way llc
bridge,,,1.0,1.0,1,bridge
bridge inc,,,1.0,1.0,1,bridge inc
bridgestone,,,,1.0,1,bridgestone
bridgestone corporation,,,,1.0,1,bridgestone corporation
brights,1.0,1.0,1.0,1.0,1,brights
brights consulting,1.0,1.0,1.0,1.0,1,brights consulting
brights consulting inc,1.0,1.0,1.0,1.0,1,brights consulting inc
bristol,,,,,1,bristol
brice way,,,1.0,1.0,1,brice way
brandon gray,1.0,1.0,2.0,1.0,1,brandon gray
bugatti international sa,,,,,1,bugatti international sa
bullrundomains,1.0,1.0,1.0,1.0,1,bullrundomains
ca corp,1.0,,,1.0,1,ca corp
cabinet,,,,1.0,1,cabinet
cablesystems,,,,,1,cablesystems
caesar,,1.0,1.0,1.0,1,caesar
caesar llc,,1.0,1.0,1.0,1,caesar llc
caixa,,,,1.0,1,caixa
caixa estalvis,,,,1.0,1,caixa estalvis
caixa estalvis pensions,,,,1.0,1,caixa estalvis pensions
camelot 10,,,,,1,camelot 10
bzh,,,1.0,1.0,1,bzh
camelot 10 llc,,,,,1,camelot 10 llc
camelot 100 llc,,,,,1,camelot 100 llc
camelot 11,,,,,1,camelot 11
camelot 11 llc,,,,,1,camelot 11 llc
camelot 12,,,,,1,camelot 12
camelot 12 llc,,,,,1,camelot 12 llc
camelot 13,,,,,1,camelot 13
camelot 13 llc,,,,,1,camelot 13 llc
camelot 14,,,,,1,camelot 14
camelot 14 llc,,,,,1,camelot 14 llc
camelot 100,,,,,1,camelot 100
builder,1.0,1.0,2.0,1.0,1,builder
by its,,,,1.0,1,by its
by and,,,1.0,1.0,1,by and
bullrundomains com,1.0,1.0,1.0,1.0,1,bullrundomains com
bullrundomains com llc,1.0,1.0,1.0,1.0,1,bullrundomains com llc
bunch,,,,1.0,1,bunch
bunch domains,,,,1.0,1,bunch domains
bunch domains llc,,,,1.0,1,bunch domains llc
burnsidedomains,1.0,1.0,1.0,1.0,1,burnsidedomains
burnsidedomains com,1.0,1.0,1.0,1.0,1,burnsidedomains com
burnsidedomains com llc,1.0,1.0,1.0,1.0,1,burnsidedomains com llc
business llc,1.0,1.0,1.0,1.0,1,business llc
by and through,,,1.0,1.0,1,by and through
business machines,,,,1.0,1,business machines
business names,1.0,1.0,1.0,1.0,1,business names
business names and,1.0,1.0,1.0,1.0,1,business names and
business sales,,,,1.0,1,business sales
business sales inc,,,,1.0,1,business sales inc
business services,2.0,1.0,1.0,1.0,1,business services
business services co,2.0,1.0,1.0,1.0,1,business services co
business technology,,,,,1,business technology
business technology co,,,,,1,business technology co
bvba,1.0,1.0,1.0,1.0,1,bvba
business machines corporation,,,,1.0,1,business machines corporation
brandon,1.0,1.0,2.0,1.0,1,brandon
brandnames com sarl,,,,1.0,1,brandnames com sarl
brandnames com,,,,1.0,1,brandnames com
blue fractal inc,1.0,1.0,1.0,1.0,1,blue fractal inc
blue hi,,,,1.0,1,blue hi
blue hi interconnect,,,,1.0,1,blue hi interconnect
blue razor,2.0,1.0,2.0,1.0,1,blue razor
blue razor domains,2.0,1.0,2.0,1.0,1,blue razor domains
blue sky,,,,1.0,1,blue sky
blue sky registry,,,,1.0,1,blue sky registry
blue tigers,,,,1.0,1,blue tigers
blue tigers llc,,,,1.0,1,blue tigers llc
blue fractal,1.0,1.0,1.0,1.0,1,blue fractal
blvd,,,1.0,1.0,1,blvd
bnp,,,,1.0,1,bnp
bnp paribas,,,,1.0,1,bnp paribas
board,,,,,1,board
board company,,,,,1,board company
boards,,,,1.0,1,boards
boards of,,,,1.0,1,boards of
boards of pharmacy,,,,1.0,1,boards of pharmacy
boehringer,,,,,1,boehringer
boehringer ingelheim,,,,,1,boehringer ingelheim
blvd inc,,,1.0,1.0,1,blvd inc
boehringer ingelheim international,,,,,1,boehringer ingelheim international
blue falls llc,,,,1.0,1,blue falls llc
blue angel domains,,,,,1,blue angel domains
black cover llc,,,1.0,1.0,1,black cover llc
black ice,,1.0,1.0,1.0,1,black ice
black ice domains,,1.0,1.0,1.0,1,black ice domains
black island,,,,1.0,1,black island
black island llc,,,,1.0,1,black island llc
black madison,,,1.0,1.0,1,black madison
black madison llc,,,1.0,1.0,1,black madison llc
blacknight,,1.0,1.0,1.0,1,blacknight
blacknight internet,,1.0,1.0,1.0,1,blacknight internet
blue falls,,,,1.0,1,blue falls
blacknight internet solutions,,1.0,1.0,1.0,1,blacknight internet solutions
blastdomains llc,,1.0,1.0,1.0,1,blastdomains llc
blisternet,1.0,1.0,1.0,1.0,1,blisternet
blisternet incorporated,1.0,1.0,1.0,1.0,1,blisternet incorporated
blockhost,,1.0,1.0,1.0,1,blockhost
blockhost llc,,1.0,1.0,1.0,1,blockhost llc
bloomberg,,,,1.0,1,bloomberg
bloomberg ip,,,,1.0,1,bloomberg ip
bloomberg ip holdings,,,,1.0,1,bloomberg ip holdings
blue angel,,,,,1,blue angel
blastdomains,,1.0,1.0,1.0,1,blastdomains
bombora,,,1.0,1.0,1,bombora
bombora technologies,,,1.0,1.0,1,bombora technologies
bombora technologies pty,,,1.0,1.0,1,bombora technologies pty
bottle,1.0,1.0,1.0,1.0,1,bottle
bottle domains,1.0,1.0,1.0,1.0,1,bottle domains
bottle domains inc,1.0,1.0,1.0,1.0,1,bottle domains inc
bounce,,,,,1,bounce
bounce pass,,,,,1,bounce pass
bounce pass domains,,,,,1,bounce pass domains
br domain,,,1.0,1.0,1,br domain
br domain inc,,,1.0,1.0,1,br domain inc
br nic,,,,,1,br nic
boterosolutions com,1.0,1.0,1.0,1.0,1,boterosolutions com
br nic br,,,,,1,br nic br
branch,,,,,1,branch
brand,2.0,2.0,1.0,,1,brand
brand services,,,,,1,brand services
brand services limited,,,,,1,brand services limited
brandma co,,,,2.0,1,brandma co
brandma co limited,,,,1.0,1,brandma co limited
brandma international,,,,,1,brandma international
brandma international networking,,,,,1,brandma international networking
brandnames,,,,1.0,1,brandnames
bradesco,,,,,1,bradesco
boterosolutions,1.0,1.0,1.0,1.0,1,boterosolutions
boston consulting group,,,,,1,boston consulting group
boston consulting,,,,,1,boston consulting
bonam,,,,1.0,1,bonam
bonam fortunam,,,,1.0,1,bonam fortunam
bonam fortunam domains,,,,1.0,1,bonam fortunam domains
bonaparte,,,1.0,1.0,1,bonaparte
bonaparte llc,,,1.0,1.0,1,bonaparte llc
bond,,,,1.0,1,bond
bond university,,,,1.0,1,bond university
bond university limited,,,,1.0,1,bond university limited
bonzai,,,,1.0,1,bonzai
bonzai domains,,,,1.0,1,bonzai domains
bonzai domains llc,,,,1.0,1,bonzai domains llc
boom,,,,1.0,1,boom
boom llc,,,,1.0,1,boom llc
boots,,,,,1,boots
boots company,,,,,1,boots company
boots company plc,,,,,1,boots company plc
bosch,,,,,1,bosch
bosch gmbh,,,,,1,bosch gmbh
bostik,,,,,1,bostik
bostik sa,,,,,1,bostik sa
boston,,,,,1,boston
banco bilbao,,,,1.0,1,banco bilbao
camelot 15,,,,,1,camelot 15
bancaria caixa estalvis,,,,1.0,1,bancaria caixa estalvis
bancaria,,,,1.0,1,bancaria
american telecom llc,,,,,1,american telecom llc
americano,,,,,1,americano
americano avianca,,,,,1,americano avianca
amica,,,,,1,amica
amica mutual,,,,,1,amica mutual
amica mutual insurance,,,,,1,amica mutual insurance
amsterdam,,,,1.0,1,amsterdam
anac,1.0,,1.0,,1,anac
analytics,,,,,1,analytics
american telecom,,,,,1,american telecom
analytics llc,,,,,1,analytics llc
and certs,1.0,1.0,1.0,1.0,1,and certs
and certs incorporated,1.0,1.0,1.0,1.0,1,and certs incorporated
and commercial,,,,1.0,1,and commercial
and commercial bank,,,,1.0,1,and commercial bank
and communications,1.0,,2.0,1.0,1,and communications
and communications technology,1.0,,2.0,1.0,1,and communications technology
and company,,,,,1,and company
and hosting,1.0,1.0,1.0,1.0,1,and hosting
and hosting pvt,1.0,1.0,1.0,1.0,1,and hosting pvt
and cabinet,,,,1.0,1,and cabinet
and infrastr,1.0,,1.0,1.0,1,and infrastr
american international group,,,,1.0,1,american international group
american council of,,,,,1,american council of
ally,,,,,1,ally
ally financial,,,,,1,ally financial
ally financial inc,,,,,1,ally financial inc
alpine,1.0,1.0,1.0,1.0,1,alpine
alpine domains,1.0,1.0,1.0,1.0,1,alpine domains
alpine domains inc,1.0,1.0,1.0,1.0,1,alpine domains inc
alpnames,,,,1.0,1,alpnames
alpnames limited,,,,1.0,1,alpnames limited
alsace,,,,1.0,1,alsace
american international,,,,1.0,1,american international
amazon registrar,1.0,1.0,1.0,1.0,1,amazon registrar
amazon registry,,,,,1,amazon registry
amazon registry services,,,,,1,amazon registry services
america,,,,,1,america
america inc,,,,,1,america inc
american automobile,,,,,1,american automobile
american automobile association,,,,,1,american automobile association
american bible,,,,,1,american bible
american bible society,,,,,1,american bible society
american council,,,,,1,american council
amazon registrar inc,1.0,1.0,1.0,1.0,1,amazon registrar inc
allworldnames com llc,1.0,1.0,1.0,1.0,1,allworldnames com llc
and machines,,1.0,2.0,1.0,1,and machines
and research network,1.0,,1.0,1.0,1,and research network
anytime sites,1.0,1.0,1.0,1.0,1,anytime sites
anytime sites inc,1.0,1.0,1.0,1.0,1,anytime sites inc
apisrs,2.0,1.0,1.0,1.0,1,apisrs
apisrs com,2.0,1.0,1.0,1.0,1,apisrs com
aplus,1.0,1.0,1.0,1.0,1,aplus
aplus net,1.0,1.0,1.0,1.0,1,aplus net
apollo,,,,1.0,1,apollo
apollo 888,,,,1.0,1,apollo 888
apollo 888 llc,,,,1.0,1,apollo 888 llc
anytime,1.0,1.0,1.0,1.0,1,anytime
appdetex,,,,,1,appdetex
apple inc,,,,,1,apple inc
applicant,,,,1.0,1,applicant
april,1.0,1.0,1.0,1.0,1,april
april sea,1.0,1.0,1.0,1.0,1,april sea
april sea information,1.0,1.0,1.0,1.0,1,april sea information
aps,1.0,1.0,1.0,1.0,1,aps
aquarelle,,,,1.0,1,aquarelle
aquarelle com,,,,1.0,1,aquarelle com
aquarius domains,,,,1.0,1,aquarius domains
apple,,,,,1,apple
and research,1.0,,1.0,1.0,1,and research
answerable com pvt,1.0,1.0,1.0,1.0,1,answerable com pvt
answerable,1.0,1.0,1.0,1.0,1,answerable
and software,1.0,1.0,1.0,1.0,1,and software
and software technologies,1.0,1.0,1.0,1.0,1,and software technologies
and technology co,,,,,1,and technology co
and technology development,,,1.0,1.0,1,and technology development
and telephone,,,,1.0,1,and telephone
and telephone corporation,,,,1.0,1,and telephone corporation
and through,,,1.0,1.0,1,and through
and through the,,,1.0,1.0,1,and through the
anessia,2.0,1.0,1.0,1.0,1,anessia
answerable com,1.0,1.0,1.0,1.0,1,answerable com
anessia inc,2.0,1.0,1.0,1.0,1,anessia inc
angel domains,,,,,1,angel domains
angel domains llc,,,,,1,angel domains llc
annam,,,,1.0,1,annam
annam llc,,,,1.0,1,annam llc
annulet,1.0,1.0,1.0,1.0,1,annulet
annulet incorporated,1.0,1.0,1.0,1.0,1,annulet incorporated
anonima,,,1.0,1.0,1,anonima
anonima promotora,,,1.0,1.0,1,anonima promotora
anonima promotora de,,,1.0,1.0,1,anonima promotora de
angel,,,,,1,angel
aquarius domains llc,,,,1.0,1,aquarius domains llc
allworldnames com,1.0,1.0,1.0,1.0,1,allworldnames com
alligator domains llc,,,,1.0,1,alligator domains llc
aim high inc,1.0,1.0,1.0,1.0,1,aim high inc
aimingwang,,,,,1,aimingwang
aimingwang information,,,,,1,aimingwang information
aimingwang information and,,,,,1,aimingwang information and
air,,,,,1,air
air lines,,,,,1,air lines
air lines inc,,,,,1,air lines inc
airtel,1.0,1.0,,,1,airtel
airtel limited,,,,,1,airtel limited
aim high,1.0,1.0,1.0,1.0,1,aim high
ait,1.0,1.0,1.0,1.0,1,ait
aka domaininfo,1.0,1.0,1.0,1.0,1,aka domaininfo
aka domaininfo com,1.0,1.0,1.0,1.0,1,aka domaininfo com
akamai,,,,1.0,1,akamai
akamai technologies,,,,1.0,1,akamai technologies
akamai technologies inc,,,,1.0,1,akamai technologies inc
aktiebolaget electrolux,,,,,1,aktiebolaget electrolux
aktiebolaget sca,,,,1.0,1,aktiebolaget sca
aktiebolaget sca publ,,,,1.0,1,aktiebolaget sca publ
aktiengesellschaft dvag,,,,1.0,1,aktiengesellschaft dvag
aka,2.0,1.0,1.0,1.0,1,aka
ala,,,,1.0,1,ala
aim,1.0,1.0,1.0,1.0,1,aim
ahlmann gmbh,,,,,1,ahlmann gmbh
afterdark,1.0,1.0,1.0,1.0,1,afterdark
afterdark domains,1.0,1.0,1.0,1.0,1,afterdark domains
afterdark domains incorporated,1.0,1.0,1.0,1.0,1,afterdark domains incorporated
ag co,,,,,1,ag co
ag co kg,,,,,1,ag co kg
ag dba,1.0,1.0,1.0,1.0,1,ag dba
ag dba puredomain,1.0,1.0,1.0,1.0,1,ag dba puredomain
age,,,,1.0,1,age
age digital,,,,1.0,1,age digital
ahlmann gmbh co,,,,,1,ahlmann gmbh co
age digital technology,,,,1.0,1,age digital technology
agencia nacional das,1.0,,1.0,,1,agencia nacional das
agencia para,1.0,,,,1,agencia para
agencia para el,1.0,,,,1,agencia para el
agency,1.0,,1.0,1.0,1,agency
agency guangdong,,,,,1,agency guangdong
agency guangdong branch,,,,,1,agency guangdong branch
agrinoon,,,,1.0,1,agrinoon
agrinoon inc,,,,1.0,1,agrinoon inc
ahlmann,,,,,1,ahlmann
agencia nacional,1.0,,1.0,,1,agencia nacional
allworldnames,1.0,1.0,1.0,1.0,1,allworldnames
ala carte,,,,1.0,1,ala carte
alantron,3.0,1.0,2.0,1.0,1,alantron
allaccessdomains llc,1.0,1.0,1.0,1.0,1,allaccessdomains llc
alldomains,1.0,1.0,1.0,1.0,1,alldomains
alldomains llc,1.0,1.0,1.0,1.0,1,alldomains llc
allearthdomains,1.0,1.0,1.0,1.0,1,allearthdomains
allearthdomains com,1.0,1.0,1.0,1.0,1,allearthdomains com
allearthdomains com llc,1.0,1.0,1.0,1.0,1,allearthdomains com llc
allfinanz,,,,1.0,1,allfinanz
allfinanz deutsche,,,,1.0,1,allfinanz deutsche
allfinanz deutsche verm,,,,1.0,1,allfinanz deutsche verm
allaccessdomains,1.0,1.0,1.0,1.0,1,allaccessdomains
allgemeiner,,,,,1,allgemeiner
allgemeiner deutscher automobil,,,,,1,allgemeiner deutscher automobil
allglobalnames,2.0,2.0,1.0,1.0,1,allglobalnames
allglobalnames dba,1.0,1.0,1.0,1.0,1,allglobalnames dba
allglobalnames dba cyberegistro,1.0,1.0,1.0,1.0,1,allglobalnames dba cyberegistro
alliance,,,,,1,alliance
alliance one,,,,,1,alliance one
alliance one services,,,,,1,alliance one services
alligator,,,,1.0,1,alligator
alligator domains,,,,1.0,1,alligator domains
allgemeiner deutscher,,,,,1,allgemeiner deutscher
ala carte llc,,,,1.0,1,ala carte llc
all domains llc,,,,,1,all domains llc
all,,,,,1,all
alantron bilisim,2.0,1.0,2.0,1.0,1,alantron bilisim
alantron bilisim ltd,2.0,1.0,2.0,1.0,1,alantron bilisim ltd
alethia,,,,1.0,1,alethia
alethia domains,,,,1.0,1,alethia domains
alethia domains llc,,,,1.0,1,alethia domains llc
alexander,,1.0,1.0,1.0,1,alexander
alexander the,,1.0,1.0,1.0,1,alexander the
alexander the great,,1.0,1.0,1.0,1,alexander the great
alfena,1.0,1.0,1.0,1.0,1,alfena
all domains,,,,,1,all domains
alfena llc,1.0,1.0,1.0,1.0,1,alfena llc
alibaba cloud computing,,,1.0,1.0,1,alibaba cloud computing
alibaba group,,,,,1,alibaba group
alibaba group holding,,,,,1,alibaba group holding
alibrother,,,,,1,alibrother
alibrother technology,,,,,1,alibrother technology
alibrother technology limited,,,,,1,alibrother technology limited
alice,1.0,1.0,1.0,1.0,1,alice
alice registry,1.0,1.0,1.0,1.0,1,alice registry
alice registry inc,1.0,1.0,1.0,1.0,1,alice registry inc
alibaba cloud,,,1.0,1.0,1,alibaba cloud
aquarius ltd,,,,1.0,1,aquarius ltd
aqui,,,,1.0,1,aqui
aqui llc,,,,1.0,1,aqui llc
augstein,,,,1.0,1,augstein
augstein gmbh,,,,1.0,1,augstein gmbh
augstein gmbh co,,,,1.0,1,augstein gmbh co
